Test Case,numCubic,numPrague,numBackgroundUdp,numBytes,duration,wanLinkDelay,mcs,channelWidth,spatialStreams,flowControl,wifiQueueSize,limit,scale
MS0-AP0-LS3-TC1-TS1,1,0,0,0,30,"""1ms""",6,160,2,0,"""8000p""",376734,1
MS0-AP1-LS3-TC1-TS1,1,0,0,0,30,"""1ms""",6,160,2,1,"""8000p""",376734,1
MS0-AP0-LS3-TC2-TS1,0,1,0,0,30,"""1ms""",6,160,2,0,"""8000p""",376734,1
MS0-AP1-LS3-TC2-TS1,0,1,0,0,30,"""1ms""",6,160,2,1,"""8000p""",376734,1
MS0-AP0-LS3-TC3-TS1,1,1,0,0,30,"""1ms""",6,160,2,0,"""8000p""",376734,1
MS0-AP1-LS3-TC3-TS1,1,1,0,0,30,"""1ms""",6,160,2,1,"""8000p""",376734,1
MS0-AP0-LS3-TC4-TS1,2,2,0,0,30,"""1ms""",6,160,2,0,"""8000p""",376734,1
MS0-AP1-LS3-TC4-TS1,2,2,0,0,30,"""1ms""",6,160,2,1,"""8000p""",376734,1
MS0-AP0-LS3-TC5-TS1,4,4,0,0,30,"""1ms""",6,160,2,0,"""8000p""",376734,1
MS0-AP1-LS3-TC5-TS1,4,4,0,0,30,"""1ms""",6,160,2,1,"""8000p""",376734,1
MS0-AP0-LS3-TC1-TS2,1,0,0,0,30,"""5ms""",6,160,2,0,"""8000p""",376734,1
MS0-AP1-LS3-TC1-TS2,1,0,0,0,30,"""5ms""",6,160,2,1,"""8000p""",376734,1
MS0-AP0-LS3-TC2-TS2,0,1,0,0,30,"""5ms""",6,160,2,0,"""8000p""",376734,1
MS0-AP1-LS3-TC2-TS2,0,1,0,0,30,"""5ms""",6,160,2,1,"""8000p""",376734,1
MS0-AP0-LS3-TC3-TS2,1,1,0,0,30,"""5ms""",6,160,2,0,"""8000p""",376734,1
MS0-AP1-LS3-TC3-TS2,1,1,0,0,30,"""5ms""",6,160,2,1,"""8000p""",376734,1
MS0-AP0-LS3-TC4-TS2,2,2,0,0,30,"""5ms""",6,160,2,0,"""8000p""",376734,1
MS0-AP1-LS3-TC4-TS2,2,2,0,0,30,"""5ms""",6,160,2,1,"""8000p""",376734,1
MS0-AP0-LS3-TC5-TS2,4,4,0,0,30,"""5ms""",6,160,2,0,"""8000p""",376734,1
MS0-AP1-LS3-TC5-TS2,4,4,0,0,30,"""5ms""",6,160,2,1,"""8000p""",376734,1
MS0-AP0-LS3-TC1-TS3,1,0,0,0,30,"""25ms""",6,160,2,0,"""8000p""",376734,1
MS0-AP1-LS3-TC1-TS3,1,0,0,0,30,"""25ms""",6,160,2,1,"""8000p""",376734,1
MS0-AP0-LS3-TC2-TS3,0,1,0,0,30,"""25ms""",6,160,2,0,"""8000p""",376734,1
MS0-AP1-LS3-TC2-TS3,0,1,0,0,30,"""25ms""",6,160,2,1,"""8000p""",376734,1
MS0-AP0-LS3-TC3-TS3,1,1,0,0,30,"""25ms""",6,160,2,0,"""8000p""",376734,1
MS0-AP1-LS3-TC3-TS3,1,1,0,0,30,"""25ms""",6,160,2,1,"""8000p""",376734,1
MS0-AP0-LS3-TC4-TS3,2,2,0,0,30,"""25ms""",6,160,2,0,"""8000p""",376734,1
MS0-AP1-LS3-TC4-TS3,2,2,0,0,30,"""25ms""",6,160,2,1,"""8000p""",376734,1
MS0-AP0-LS3-TC5-TS3,4,4,0,0,30,"""25ms""",6,160,2,0,"""8000p""",376734,1
MS0-AP1-LS3-TC5-TS3,4,4,0,0,30,"""25ms""",6,160,2,1,"""8000p""",376734,1
MS0-AP0-LS2-TC1-TS1,1,0,0,0,30,"""1ms""",6,80,2,0,"""8000p""",188366,1
