Experiment,Algorithm,Base_RTT,Jitter,Files_Found,Files_Missing,Status
C-H0,Cubic,40ms,0ms,8,0,Complete
C-H1,Cubic,40ms,1ms,8,0,Complete
C-H5,Cubic,40ms,5ms,8,0,Complete
C-L0,Cubic,10ms,0ms,8,0,Complete
C-L1,Cubic,10ms,1ms,8,0,Complete
C-L5,Cubic,10ms,5ms,8,0,Complete
C-M0,Cubic,20ms,0ms,8,0,Complete
C-M1,Cubic,20ms,1ms,8,0,Complete
C-M5,Cubic,20ms,5ms,8,0,Complete
P-H0,Prague,40ms,0ms,9,0,Complete
P-H1,Prague,40ms,1ms,9,0,Complete
P-H5,Prague,40ms,5ms,9,0,Complete
P-L0,Prague,10ms,0ms,9,0,Complete
P-L1,Prague,10ms,1ms,9,0,Complete
P-L5,Prague,10ms,5ms,9,0,Complete
P-M0,Prague,20ms,0ms,9,0,Complete
P-M1,Prague,20ms,1ms,9,0,Complete
P-M5,Prague,20ms,5ms,9,0,Complete
