Experiment,Algorithm,Type,Scenario,Throughput_Before,Throughput_After,Throughput_Change_Pct,QueueDelay_Before,QueueDelay_After,QueueDelay_Change_Pct
C-B1,cubic,Wired,25→100 Mbps,23.340987733333332,58.34242986666667,149.95698782424566,1.989165569486255,0.5514945510745941,-72.27508058984604
C-B2,cubic,Wired,100→25 Mbps,92.06190933333333,23.527876266666667,-74.44341917624361,1.412289933482641,3.6192152805280533,156.26574223348297
C-W1,cubic,WiFi,MCS 2→7,17.871795200000005,54.346604503311255,204.09146868083647,18.55581309138043,3.5351812149850037,-80.9483896093609
C-W2,cubic,WiFi,MCS 7→2,61.328785066666676,17.623790198675497,-71.26342845448873,5.509371430011848,18.783745920953187,240.94172374420566
C-W3,cubic,WiFi,MCS 4→9,36.499639466666665,74.36160847682119,103.73244657589566,9.85444236219806,2.837015938729042,-71.21079169723575
C-W4,cubic,WiFi,MCS 9→4,79.93346133333334,37.68022039735099,-52.860517024004025,3.752427057163839,10.030533640533951,167.3078913388721
C-W5,cubic,WiFi,MCS 4→7,36.499639466666665,58.84058278145695,61.20866847244664,9.85444236219806,4.678540095049816,-52.52354295564366
C-W6,cubic,WiFi,MCS 7→4,61.328785066666676,37.272862516556295,-39.22452160753013,5.509371430011848,9.301573415090418,68.83184467144223
P-B1,prague,Wired,25→100 Mbps,23.859950933333334,71.21321536423841,198.46337724337317,0.33643922571456314,0.2091876871844219,-37.823038695880875
P-B2,prague,Wired,100→25 Mbps,95.33940906666666,19.938288741721852,-79.08704392348407,0.4538443143826246,3.9895411633820723,779.0550056375921
P-W1,prague,WiFi,MCS 2→7,16.918818133333335,51.59406198675497,204.95074525982827,0.9532005020538566,0.6002104871034555,-37.03208445545457
P-W2,prague,WiFi,MCS 7→2,56.7917184,17.629927417218543,-68.95686921630717,0.5783391757203268,2.4945194678058114,331.3246573170258
P-W3,prague,WiFi,MCS 4→9,34.444637866666675,70.29416688741722,104.07869334995516,0.7430552666965485,0.46031485577870734,-38.051060747451466
P-W4,prague,WiFi,MCS 9→4,75.36009813333332,34.665311788079464,-54.000442347159996,0.47428283035302554,1.0853921881675699,128.84914205299694
P-W5,prague,WiFi,MCS 4→7,34.444637866666675,55.06082331125828,59.853105509181844,0.7430552666965485,0.5835927682856863,-21.46038196052301
P-W6,prague,WiFi,MCS 7→4,56.7917184,34.15592264900662,-39.85756442790324,0.5783391757203268,0.8575947474839265,48.2857782227504
