Experiment,Type,Description,Jains_Fairness_Index,Prague_Throughput,Cubic_Throughput,L4S_Queue_Delay,Classic_Queue_Delay,Algorithm,Loss_Rate
C-WLS1,loss_sensitivity,Cubic with 1% loss,N/A,N/A,N/A,N/A,N/A,cubic,1%
C-WLS2,loss_sensitivity,Cubic with 5% loss,N/A,N/A,N/A,N/A,N/A,cubic,5%
C-WLS3,loss_sensitivity,Cubic with 10% loss,N/A,N/A,N/A,N/A,N/A,cubic,10%
P-FC1,fairness,Prague vs 1 Cubic flow(s),0.6823379041713393,81.43713852295409,14.957724160000001,0.05920457822895128,14.095108614464365,N/A,N/A
P-FC4,fairness,Prague vs 4 Cubic flow(s),0.605361293809008,50.76774706586827,45.63632640000001,0.06116850574083202,15.127190029444614,N/A,N/A
P-FC8,fairness,Prague vs 8 Cubic flow(s),0.6275926762651488,33.63244455089821,62.778561280000005,0.061528823039144774,15.09555109565834,N/A,N/A
P-FMIX,fairness,Mixed Prague+Cubic (P-FMIX),0.6910361447851869,80.9504255489022,15.4518976,0.08479140790008413,15.207459976911199,N/A,N/A
P-FMIX2,fairness,Mixed Prague+Cubic (P-FMIX2),0.672455887067149,80.78302403193612,15.62426752,0.10522917288057819,15.177477740538617,N/A,N/A
P-FMIX3,fairness,Mixed Prague+Cubic (P-FMIX3),0.8248113062014187,85.53824447105788,10.8623168,0.30803910107611926,14.905608906140031,N/A,N/A
P-FP2,fairness,2 Prague flows only,0.9996978930661626,96.31853221556887,N/A,0.49607441081814374,N/A,N/A,N/A
P-FP4,fairness,4 Prague flows only,0.9996849198406096,95.60476359281438,N/A,0.40995950700812284,N/A,N/A,N/A
P-FP8,fairness,8 Prague flows only,0.9999537986186581,95.57609261477045,N/A,0.4834922334427374,N/A,N/A,N/A
P-WLS1,loss_sensitivity,Prague with 1% loss,N/A,N/A,N/A,N/A,N/A,prague,1%
P-WLS2,loss_sensitivity,Prague with 5% loss,N/A,N/A,N/A,N/A,N/A,prague,5%
P-WLS3,loss_sensitivity,Prague with 10% loss,N/A,N/A,N/A,N/A,N/A,prague,10%
